아 진짜! 사무실에서 피지 말라니깐! 간접흡연이 얼마나 안좋은데!,그럼 직접흡연하는 난 얼마나 안좋겠니? 안그래? 보면 꼭... 지 생각만 하고.,0
그럼 직접흡연하는 난 얼마나 안좋겠니? 안그래? 보면 꼭... 지 생각만 하고.,손님 왔어요.,0
손님 왔어요.,손님? 누구?,0
손님? 누구?,몰라요. 팀장님 친구래요.,0
몰라요. 팀장님 친구래요.,내 친구? 친구 누구?,0
내 친구? 친구 누구?,그걸 내가 어떻게 알아요!,0
그래서... 무슨 일 해?,그냥 방송일 조금. ,0
그냥 방송일 조금.,방송? 방송 뭐?,0
방송? 방송 뭐?,케이블 같은데서 아침에 배도 타고 산도 오르고. 있어 그런 거.,0
케이블 같은데서 아침에 배도 타고 산도 오르고. 있어 그런 거.,사는 덴 어디야?,0
사는 덴 어디야?,개포동.,0
개포동.,남편은 뭐하는데?,0
남편은 뭐하는데?,동사무소에서 인구조사 나왔니? 지금.,0
언제부터 시작할 수 있어?,나? ... 나보고 하라고?,0
나? ... 나보고 하라고?,그럼 내가 널 왜 만나러 왔겠어?,0
그럼 내가 널 왜 만나러 왔겠어?,근데 왜... 나한테...?,0
근데 왜... 나한테...?,"내가 몇 명 만나봤는데, 보니까 죄다 사기꾼 같고 영 못 믿겠어. 아무래도 이런 일은 아는 사람한테 맡기는 게... 딴 사람들도 다 그러더라.",0
내가 몇 명 만나봤는데  보니까 죄다 사기꾼 같고 영 못 믿겠어. 아무래도 이런 일은 아는 사람한테 맡기는 게... 딴 사람들도 다 그러더라.,에이. 내가 무슨. 나 못해.,0
에이. 내가 무슨. 나 못해.,왜?,0
왜?,나 이런 거 한번도 안 해봤어.,0
나 이런 거 한번도 안 해봤어.,잘됐네. 그럼 이번에 해보면 되잖아.,0
잘됐네. 그럼 이번에 해보면 되잖아.,"야야. 그러지말고, 내가 이런 거 잘하는데 딴데 소개 시켜줄께. 이런 거...",0
야야. 그러지말고  내가 이런 거 잘하는데 딴데 소개 시켜줄께. 이런 거...,이런 거? 돈이 안된다 이거야? 돈 제대로 줄께. 걱정마.,0
이런 거? 돈이 안된다 이거야? 돈 제대로 줄께. 걱정마.,아니. 그런 게 아니라...,0
아니. 그런 게 아니라...,아니면 됐네.,0
아니면 됐네.,안된다니깐!,0
안 내켜.,왜요?,0
왜요?,뭔가 말리는 기분이야. 불길해. ,0
뭔가 말리는 기분이야. 불길해.,뭐가?,0
뭐가?,생각해봐. 친구랍시고 갑자기 불쑥 나타나서 ‘집 져줘’ 안이상해?,0
생각해봐. 친구랍시고 갑자기 불쑥 나타나서 ‘집 져줘’ 안이상해?,뭐가 이상해? 우정만 돋는구만. 뭐.,0
뭐가 이상해? 우정만 돋는구만. 뭐.,우정 좋아하네. 싸가지 못봤어? 지가 청담동 며느리면 다야?,0
우정 좋아하네. 싸가지 못봤어? 지가 청담동 며느리면 다야?,개포동이라며.,0
개포동이라며.,저 나이에 집 짓겠다는 것도 이상하고... ,0
저 나이에 집 짓겠다는 것도 이상하고...,남편 복 받은 년인가 보지. 뭐.,0
남편 복 받은 년인가 보지. 뭐., ... 너 오늘 유난히 대답 잘 한다? 라임 맞춰가면서.,0
... 너 오늘 유난히 대답 잘 한다? 라임 맞춰가면서.,그니까. 쓸데없는 걱정 말고... 좋은 기회잖아요. 데뷰? 응? 제대로 된 포트폴리오 하나 생기는 건데... 그거 돈으로 치면 얼말까?,0
집 짓는 이유가 그렇게 중요해? 왜  내가 사기라도 칠까봐?,또. 험악하게. 그런 게 아니라… 왜 집을 짓는지 알아야 어떤 집이 필요한지를 알지. 널 잘 알아야 너한테 맞는 집을 잘 지을 거 아니야? 안그래?,0
